".outcome","blue","green","red","nir","swir1","swir2"
1.06,0.06701479325,0.09738741925,0.08433166875,0.4256845565,0.2351861405,0.14884429
-5.385,0.010375,0.0273975,0.0145825,0.2006475,0.0804175,0.033805
1.86664,0.06845144825,0.09681275725,0.10111045,0.351515445,0.3154404905,0.217357042
-1.91,0.0393591845,0.06319503025,0.0466614125,0.31494134425,0.185091893,0.112376166
0.44,0.03454639025,0.0471284385,0.04068160625,0.289546208,0.166245065,0.106461026
4.7,0.066033079,0.0935802835,0.09134595625,0.32800899225,0.249761366,0.153962172
5.38,0.0133175,0.0437875,0.02418,0.2735225,0.138085,0.0619375
-3.82,0.052624299,0.08120110625,0.0566529875,0.44449482325,0.2308368725,0.132924848
10.56,0.0381140835,0.05395254975,0.03901634375,0.3328838375,0.1633196645,0.099825782
-1.16,0.064883755,0.091616855,0.088292975,0.2647891405,0.276064082,0.191098964
4.49,0.07438962225,0.10768344675,0.10547545625,0.2996021715,0.2174266295,0.16016021
4.57,0.0320801325,0.042674808,0.03230483125,0.17783313125,0.095465906,0.074159218
2.82,0.088253343,0.10955109825,0.14529036875,0.25338047125,0.34151021,0.266066934
5.3,0.05671876575,0.08096166375,0.084457825,0.26874516675,0.2627832815,0.191433298
3.75,0.0320801325,0.042674808,0.03230483125,0.17783313125,0.095465906,0.074159218
-10.94,0.10417626925,0.13359112525,0.1569724375,0.27441121725,0.334054322,0.328073032
-3.3,0.0593765775,0.083284256,0.07539980625,0.26716275625,0.217452518,0.164326526
0.23,0.06169916975,0.09135346825,0.08493721875,0.305880768,0.218125619,0.161266084
-1.52,0.02602223725,0.0372634075,0.02862106875,0.161524094,0.0843079625,0.074442116
-2.1,0.08990549625,0.13531511125,0.16416334375,0.27272671575,0.320074532,0.294073836
4.73,0.03354073175,0.04992991575,0.04991624375,0.2359994785,0.159824717,0.10782408
1.26,0.0248125,0.0492875,0.033805,0.29874,0.14397,0.0695275
0.85,0.032511129,0.0478946545,0.03351593125,0.27966890375,0.1426088645,0.088304118
2.2,0.032511129,0.0478946545,0.03351593125,0.27966890375,0.1426088645,0.088304118
3.07,0.0439564805,0.0588132325,0.04900791875,0.2810216095,0.152265275,0.102243274
-1.01,0.0410831705,0.06324291875,0.06046290625,0.2598887725,0.183486806,0.130533074
3.72,0.03076319875,0.0521088425,0.033995325,0.32321071525,0.1490809895,0.088895632
6.45,0.088828005,0.11496249875,0.12207761875,0.21034911475,0.180328409,0.171836182
2.393637136,0.0102925,0.0416975,0.0220625,0.4178425,0.14804,0.059215
5.99,0.03507316375,0.03743101725,0.02862106875,0.0722455145,0.0396244115,0.064772148
2.01,0.04699740025,0.06606834025,0.07368408125,0.20606129275,0.1797847505,0.146118182
0.13,0.0410831705,0.06324291875,0.06046290625,0.2598887725,0.183486806,0.130533074
2.13,0.03445061325,0.049762306,0.0323300625,0.2977645335,0.14527538,0.089384274
0.64,0.0678775,0.0982925,0.10822,0.250285,0.2114,0.1544475
6.5,0.026105,0.05113,0.0280025,0.3615225,0.1398725,0.05608
